BlockNumber,Timestamp,TxHash,EventType,Layer2Name,Layer2Address,Depositor,Amount,AmountWTON
18418348,2023-10-24 15:30:59,0xbd6eab68dda9bfd750c5124faf8f05d5acf9fc987d57e6946b056293a097718b,Deposited,Hammer DAO,0x06D34f65869Ec94B3BA8c0E08BCEb532f65005E2,0x3d827286780dBc00ACE4ee416aD8a4C5dAAC972C,100000000000000000000000000000,100.0000000000000000000000000
18418554,2023-10-24 16:12:47,0x0092be83ec10e2a720a8195ff2aa3950575560be11c48033565f1ae62298cc4f,Unstaking,tokamak1,0xf3B17FDB808c7d0Df9ACd24dA34700ce069007DF,0x8c595DA827F4182bC0E3917BccA8e654DF8223E1,16495540000000000000000000000000,16495.54000000000000000000000
18418961,2023-10-24 17:34:47,0x814ae27022af3c3181b2e185fca0a2e9f1695852a71822dac23afbdfc81a4eaa,Unstaking,level19,0x0F42D1C40b95DF7A1478639918fc358B4aF5298D,0xceB2196aDdf345F68d1F536DdAA49FE54BcBDDAD,5150000000000000000000000000,5.150000000000000000000000000
18419036,2023-10-24 17:49:59,0x3e62d0ee2286ba470a306199b4b7fa495a9ada97b70817900a5a4cffd8bb4a37,Unstaking,tokamak1,0xf3B17FDB808c7d0Df9ACd24dA34700ce069007DF,0x942d6ac7A6702Bb1852676f3f22AeE38bD442E4C,10042340000000000000000000000000,10042.34000000000000000000000
18423966,2023-10-25 10:23:47,0x8025121adb90f0329612008e4b89ef4333c588d6962d2fa8ad362c3c415ca2fb,Unstaking,Hammer DAO,0x06D34f65869Ec94B3BA8c0E08BCEb532f65005E2,0x12DDa30d61c016d808e4f5327D37BDd2E9B3cC51,10354110000000000000000000000000,10354.11000000000000000000000
18423969,2023-10-25 10:24:23,0xb9646cd28c59121094b0a8f4a1916305ec1787e5124c033ce33f9d832d9c7ac6,Unstaking,level19,0x0F42D1C40b95DF7A1478639918fc358B4aF5298D,0x12DDa30d61c016d808e4f5327D37BDd2E9B3cC51,2493520000000000000000000000000,2493.520000000000000000000000
18424065,2023-10-25 10:43:35,0xd2d2b639378203fafb7d000d4b1e0877811d083805550e7939724010a8d79097,Unstaking,Hammer DAO,0x06D34f65869Ec94B3BA8c0E08BCEb532f65005E2,0x300f542664981f314e56C6f3e410e19BB94b4d2d,80815970000000000000000000000000,80815.97000000000000000000000
18424164,2023-10-25 11:03:47,0xdb738769e62e0199709565f70a4114f4de488c438112c2ec2a603358cb79db84,Deposited,level19,0x0F42D1C40b95DF7A1478639918fc358B4aF5298D,0x14c2CC217A07C04d4A0F97E1bE0B3E370B934606,3779910000000000000000000000000,3779.910000000000000000000000
18425508,2023-10-25 15:36:11,0xeec90889a767bb8c284dd9e3589e179373e58bf3d56213ee1a35b5f851c84c76,Deposited,level19,0x0F42D1C40b95DF7A1478639918fc358B4aF5298D,0xc3C6C3538EB6351b1a8aad9A7cBfd6E00eFD2429,3000000000000000000000000000000,3000.000000000000000000000000
18425815,2023-10-25 16:37:59,0x83384e92b1e7aab09bed9376722602de3c088b3ee3c5378b092e361f2e7a6caa,Unstaking,level19,0x0F42D1C40b95DF7A1478639918fc358B4aF5298D,0x3bFda92Fa3bC0AB080Cac3775147B6318b1C5115,3120000000000000000000000000,3.120000000000000000000000000
18430634,2023-10-26 08:51:23,0x2747f83a4be0948fe22e50b29e0b1c13ed09ef70bb76db969ec4a572c92c897a,Unstaking,tokamak1,0xf3B17FDB808c7d0Df9ACd24dA34700ce069007DF,0x3Fa901AD74c21A2048dD465199255d1aF218C306,2000000000000000000000000000000,2000.000000000000000000000000
18430856,2023-10-26 09:35:59,0x1a51c161e5ccdedfcbf7a1f014749762dda58f7b30eda09554792a78471d583e,Unstaking,tokamak1,0xf3B17FDB808c7d0Df9ACd24dA34700ce069007DF,0x780F80a79569Ee5c0fe061f3Bf10e4EfA912DFAA,700000000000000000000000000000,700.0000000000000000000000000
18432028,2023-10-26 13:31:59,0xfa02de8559e118a6abea2f17a7c0d360f14125d9972505fc951d85621b977a83,Unstaking,level19,0x0F42D1C40b95DF7A1478639918fc358B4aF5298D,0x942d6ac7A6702Bb1852676f3f22AeE38bD442E4C,8494470000000000000000000000000,8494.470000000000000000000000
18432488,2023-10-26 15:04:47,0x8cda1bc13e8a106f6d4bc7465137f508be5036215775352bda83198d86be9b58,Unstaking,tokamak1,0xf3B17FDB808c7d0Df9ACd24dA34700ce069007DF,0xb73f5B493737526AEA67ACFf744e036A5d01D303,20000000000000000000000000000000,20000.00000000000000000000000
18433724,2023-10-26 19:13:11,0x01eb06f3f8f7af6ee3b2d0e6cdcf3d581ed955af13a363c7628a1a0d4296986b,Unstaking,level19,0x0F42D1C40b95DF7A1478639918fc358B4aF5298D,0x74a9636E5f6C9639a0eDDf0CeA2cDeA24e67b999,95826880000000000000000000000000,95826.88000000000000000000000
18437715,2023-10-27 08:37:59,0xf5df4ac3e85e9699e0bd69596d619e44ccce35763495559e825897518b848acc,Unstaking,Hammer DAO,0x06D34f65869Ec94B3BA8c0E08BCEb532f65005E2,0xA91E9464cc258FC473d73204bfd990C8c4056381,20000000000000000000000000000000,20000.00000000000000000000000
